author,title,year,journal,doi
Pedro Soto,Study 0,202X,Ciencia Hoy,
juan perez,Study 1,2023,Ciencia Hoy,
Pedro Soto,Study 2,,,
Ana Ruiz,Study 3,2023,Ciencia Hoy,
Juan Perez,Study 4,2024,,10.1000/4
Maria Lopez,Study 5,2022,,10.1000/5
Juan Perez,Study 6,2021,Revista Medica,10.1000/6
Juan Perez,Study 7,2021,Revista Ciencia,
Pedro Soto,Study 8,2022,,10.1000/8
Maria Lopez,Study 9,202X,Revista Ciencia,
Maria Lopez,Study 10,,Revista Ciencia,
Juan Perez,Study 11,2024,Revista Medica,10.1000/11
Carlos Gomez,Study 12,2020,Revista Ciencia,
Pedro Soto,Study 13,202X,Journal Data,10.1000/13
Juan Perez,Study 14,2022,Journal Data,
Pedro Soto,Study 15,2021,Journal Data,
Ana Ruiz,Study 16,2020,Revista Ciencia,
Juan Perez,Study 17,2024,,
Juan Perez,Study 18,2023,Revista Medica,
Juan Perez,Study 19,2022,,
Maria Lopez,Study 20,202X,Revista Ciencia,
juan perez,Study 21,2020,Revista Medica,
Juan Perez,Study 22,2020,,10.1000/22
Maria Lopez,Study 23,2024,Journal Data,
Pedro Soto,Study 24,202X,Ciencia Hoy,
Pedro Soto,Study 25,,Journal Data,
Ana Ruiz,Study 26,2022,Journal Data,
Juan Perez,Study 27,,Journal Data,
Maria Lopez,Study 28,2022,,10.1000/28
Ana Ruiz,Study 29,2022,,10.1000/29
Ana Ruiz,Study 30,,Revista Ciencia,
Ana Ruiz,Study 31,202X,Revista Ciencia,
juan perez,Study 32,2020,Journal Data,
Pedro Soto,Study 33,2020,Ciencia Hoy,
Pedro Soto,Study 34,2023,Ciencia Hoy,10.1000/34
Juan Perez,Study 35,202X,Ciencia Hoy,
Pedro Soto,Study 36,2024,Journal Data,
Juan Perez,Study 37,2020,Journal Data,10.1000/37
Ana Ruiz,Study 38,2021,Ciencia Hoy,
Juan Perez,Study 39,2023,Revista Ciencia,10.1000/39
Juan Perez,Study 40,,,
Maria Lopez,Study 41,202X,Revista Medica,
Pedro Soto,Study 42,202X,Revista Ciencia,
Ana Ruiz,Study 43,2021,,
juan perez,Study 44,2021,Revista Ciencia,10.1000/44
Juan Perez,Study 45,2023,Journal Data,
Juan Perez,Study 46,202X,Ciencia Hoy,
Carlos Gomez,Study 47,2020,Revista Medica,10.1000/47
Juan Perez,Study 48,,Journal Data,10.1000/48
Carlos Gomez,Study 49,,Ciencia Hoy,10.1000/49
juan perez,Study 50,2020,Journal Data,
Carlos Gomez,Study 51,2020,Revista Ciencia,10.1000/51
Maria Lopez,Study 52,2023,Revista Ciencia,
Maria Lopez,Study 53,2021,Revista Ciencia,
juan perez,Study 54,2021,Revista Medica,10.1000/54
Juan Perez,Study 55,2020,Revista Medica,10.1000/55
Ana Ruiz,Study 56,2023,Revista Medica,10.1000/56
Maria Lopez,Study 57,2022,Journal Data,
